,,,,
Date,Abortion,Infanticide,Concealed Pregnancy,Text 
1689-12-11,,1.0,,"Mary Campion was Indicted for smothering her Female Infant Bastard Child , on the first of Decemb. The Evidence deposed, that the Child was found Dead in a Box under the Prisoners Bed, and that she owned it to be hers: and the Child was full grown, and no appearance of hurt was seen on the Child, as was Evidenced by the Midwife. The Prisoner said, that she was not near her time; and no proof was made that the Child was Born alive; and she being found to make good Provision for the Child against the Birth, she was deemed to be out of the Statute, so she was Acquitted ."
1691-04-22,,1.0,,"Elizabeth Deal , was tryed for the Murther of her Female Infant Bastard Child , on the 7th of March last, on this wise, She went to a Midwife at Stepney , and desired to Lye In in private, which the Midwife promised she should, if she would make provision for the Child, which she promised, but did not, but privately made away the Child, throwing it into a Puddle of Water on the backside of the House, in the High-way. She confessing (when taken) that the Child Gasped when it was thrown down; adding that it cryed, and then she pinched it by the Throat and dispatcht it out of the World; this she confest to several Women about her, but upon her Tryal she denyed all, and pleaded that she was Distracted, but never laid any violent Hands upon her Child, neither did she put it into the Water, not pinch it, only what she did was to cover her Shame, begging hard that the Court would pitty her sad Condition She was found Guilty of wilful Murther. [Death. See summary.]"
1696-02-27,,1.0,,"M - S - of the Parish of Saint Giles's in the Fields , was indicted for murthering her Female Infant Bastard on the 29th of December last, by putting it into a Trunk, whereby it was smothered . It appeared that she was brought to bed on a Sunday morning and complained that she was very ill, and her Mistress and some women more came to her, and charged her with it, which she denied at first, but finding Milk in her Breast, she was very unwilling to own it, but confessed at last where it was. When the Statute was read, she confessed that she was not married, and that when she was delivered, she cried out, and that she was in a great Trance, and did believe that the Child was dead born; her Master and Mistress said that they had heard something of it, but could not believe it till she was brought to bed; the Prisoner likewise declared that she had taken care to get a Midwife and a Nurse to look after her, when she should come from her Master, which she did expect would be in a little time after, she having given her Master warning to be gone; the Jury considering the same, found her not guilty ."
1696-09-09,,1.0,1.0,"Margaret Price of the Parish of Istleworth , was Indicted for the Murther of her Female Bastard Child , on the first of July last. It appeared that the Churchwardens of the Parish suspecting that she was with Child, she lately having a great Belly, seemed as if she had lost it, they sent their Beadle and a Midwife to search her; the Midwife taking some Women with her went to her, and she confessed that she had miscarried, and had thrown it into a Cart-rutt. But it was further observed that she was so far gone, that it could not be put there; they searched about, and in the Garden, under a little Dunghil, they found the Child hid, which they did think was at its full time. The Prisoner could not deny the Fact, but said that it was born dead, she having hurt her self, and that she did cry, out when she was delivered, but could not prove it. The Jury found her guilty of Murther. [Death -respited for pregnancy. See summary.]"
1696-12-09,,1.0,,"Mary Ingerley of the Parish of St. Giles's in the Fields , was Indicted for the Murder of her Male Bastard Infant , on the 9th of October last. The Prisoner declared that she had a Husband, and that the Child was no Bastard. She called the Midwife, who declared that she did think that the Child was dead Born, by reason that the Skin was torn. The Jury acquitted her."
1697-07-07,,1.0,,"Elinor Hunt was indicted for the Murther of her Female Infant Bastard on the 24th of June last, by throwing the same into a House of Office, by which means it was choaked . It appeared that the Prisoner was a Servant at Bosomes Inn; one of the Evidence said that she was afraid that she had left some of her Goods, and went up Stairs, where she saw some signs which made her to mistrust her; there was another Evidence that said that she did lie with her, and she complained that she was not well, and about Three a Clock in the Morning she went down to the Vault, and when she came up, she went to Bed; after some time that she was mistrusted, they searcht and in the House of Office they found the Child, then they sent for a Midwife, who examined her about it, and she confest the matter to her: The Prisoner said that the Child was Stilborn, and that she had Eight Weeks to go of her time, and had no design to murther it. The Jury having considered the matter, found her guilty . [Death. See summary.]"
1702-01-14,,1.0,,"Christian Russel , of the Parish of St. Pauls Covent Garden , was indicted for the Murther of her Male Infant Bastard, on the 19th of December last, by throwing the same into a House of Office . The first Evidence was her Mistress, who deposed, That the Prisoner was a Servant in the House, and in the Morning, it being the Fast-day, she came down and sat by the Kitchen-fire, and told her Mistress she was not well, upon which, she bid her go up Stairs, which she did; about 2 a Clock she came to see her again, and then she said that she was something better, upon which, she askt her to hire a Chare-woman for that Day, (which she did) and said, that she did hope to be better the next Day to do her work her self; a while after she did mistrust that she had had a Child, and askt her if she was married, and she answered No, then she said, What have you done with the Child; and she confest that it was in the House of Office. She farther deposed, That when she saw the Child the next Day, that the Arm of it was broke; and did believe that it was come to its full time. The next Evidence was the Chare-woman, who said, That she took the Child out of the Vault, and when she found it, there was two pieces of Brickbats lay upon the Breast of it. The Midwife also deposed, That it was very likely that the Child was alive Born, by reason it was a very large Child, and came to its full time; and said, she found no Marks about it, only that the Arm was broke. The Prisoner called a Witness to prove that she had provided Things for a Lying-in, which she sent to her Sisters, where they were found after she was delivered: She also said, That she had a great Fall about a Fortnight before, which hurt her very much, and that she never felt the Child to stir afterwards, but she could not prove that ever she had made any one acquainted with her Condition. The Jury found her guilty . [Death. See summary.]"
1704-03-08,,1.0,,"Jane Lyne , of the Parish of St. Michael Basishaw , was indicted for the Murther of her Male Infant Bastard, by throwing it into an House of Office, whereby it was strangled, on the 20th of February last . The first Evidence deposed, That the Prisoner lodged in the House, and perceiving that she was with-Child, askt her if she was a Wife, or a Widow, by reason she looked so big? and whether she was with-Child? And she replyed, No; and told her, that she was troubled with a Timpany and Dropsie. Some time after the Prisoner made an inquiry whether the Vault run into the Common-Shore? saying, it was never emptied. After that, she had occasion to wash some Things, upon which she perceived her to be very Lank, and told her Husband, who mistrusting her about her Words about the Vault, searched, and found the Child wrapt up in a Cloath, and put into a Lining of his Sleeve: After that he sent for a Constable, who carried her that Night to the Compter, and the next Day being brought before the Justice, owned that she had a Child, but was in an Error, and did not kill it, for it was Still-born. There was other Evidences, who deposed, That they did discover something of such Matters when she washt her Linnen; and also in the room where she lay, there was other symptoms discovered, as if she had been delivered there: And other Evidences, who also said, That she had Milk in great abundance in her Breast: And a Midwife declared [Pages missing in original.]"
1711-12-05,,1.0,,"Phebe Ward , of St. Clement's-Danes , was indicted for the Murther of her Female Bastard Child , on the 21st of November last. The first Evidence was one that liv'd in the House with her, and that the Morning before she was deliver'd, she complain'd she had the Cholick very much; but being ask'd by this Deponent, whether it was not something else? She said, No. She further ask'd her, whether she had never known Man? She said, no, never in her life. Some time after that she ask'd her how she did? She said she was very ill. She then ask'd her again, if she was not with Child, telling her that she was not the first that had been drawn away; and if she was, her Mistress would take Care of her, that she should Lye in handsomely. She still deny'd it; and this Deponent farther said, that she gave her two Cordial Drams, and that about an hour after that she ask'd her how she did? she said she was much better; but desir'd her to keep the Candle out of her Eyes. Coming up a second time she found some tokens of a Delivery, she taxes her with having a Child, pulling down the Bed-cloaths to the feet, but did not see any Child. The next Morning this Deponent coming down, saw the Footsteps of a Person, and trac'd it, quite to the Vault; upon this she told her Mistress, who caus'd the Vault to be search'd, and there the Child was found. There was another Evidence, who was Clerk of the Parish, who saw the Child taken out of the Vault, and that it was a full grown Child. There was another Witness,who took the Child out of the Vault; and also another who was the Midwife, who searching of her, found she had been delivered of a Child. The Prisoner in her defence said very little, and it appearing that she had made no Provision for it; the Jury found her Guilty . [Death. See summary.]"
1712-01-11,,1.0,,"Anne Nichols was indicted for Murder, and upon the Coroner's Inquest for murdering her Female Bastard Child , on the 5th instant. The Evidence was her Mistress, a Midwife, who depos'd, That on the Dry aforesaid Nichols being up earlier than usual, she coming into the Kitchen, saw an Alteration in her face, and having a Suspicion, felt her Breasts, and told her she was sure she had been newly deliver'd of a Child; which the Prisoner immediately confess'd, and said the Child was in a Box in her Chamber, where it was found. The Child was at its full growth; but her Mistress, with another Midwife who was Evidence, gave some Reasons why in their Judgment the Child was stillborn; nor did there appear any Marks of Violence. The Prisoner said, When her Pains came upon her, she got out of Bed, but fell into a Swoon, and was not able to call for Help; and it appearing she had made some Provision for her Bying-in, the Jury acquitted her."
1714-06-30,,1.0,,"Mary Tate of the Parish of St. Martin in the Fields , was indicted for the Murder of her Male Bastard Child , on the 12th of May last. It appear'd by the Evidence, That she was found lying the Fields in a languishing Condition, and being taken care of by the Parish-Officers, she told them she had been deliver'd of Child, and had rapt it in Straw, and left it by a Pond-side, being robb'd of the Cloaths she had provided for it, as she came from Cirencester in Gloucstershire, whereupon a midwife being sent for, to examine the Matter, found she had been deliver'd. the Prisoner being afterwards remov'd to the Round house, pretended to go and shew the Place where she had left her child; and when she came to a Brick kiln near Tyburn Road, told the Woman who went along with her, that after she had put her Child in Straw, she thrust it into the hole of the Kiln while it was burning. She deny'd all at her Tryal, and talk'd very ramblingly; and several Winesses appearing, who gave an Account that she had been look'd upon as a Person not well in her Senses for some Years, she was acquitted ."
1715-09-07,,1.0,,"Jane Simpson , of the Parish of Hackney , was indicted for the Murder of her Bastard Male Child , on the Second of August last. She was also indicted on the Coroner's Inquest for the said Murder. Anne Harrison depos'd, That hearing the Prisoner cry out, she came to her, and ask'd her what was the Matter, who answering nothing ; she look'd under the Bed, and found a Cloth, and in it a dead Child: The Midwife, and some other Women saw the Child, but believ'd it might be born in the after Birth. The Prisoner said she made some Provision for the Birth, and that it was born dead; and no Body proving any thing to the contrary, she was acquitted ."
1717-07-17,,1.0,,"Ann Hasle , of St. Giles without Cripplegate , was indicted for the Murther of her Male Bastard-Infant, by drowning it in a Copper, the 11th of this Instant July . The Evidences deposed, that Mr. Burton where the Prisoner lived as a Servant , seeing some suspicious Symptoms of her being deliver'd of a Child, sent for them, being Neighbours; That when they came, they found the Prisoner sitting in a Chair in the Kitchin; That they taxed her with her Delivery, but she would not own it; That they searched all about the House, but could find no Child, though they found some Tokens of such a Matter; whereupon they pressing her more closely to tell them where the Child was, she told them it was in the Copper, whereupon they searched, and found 2 Gown and Petticoat in a Copper wherein was 8 or 10 Pails of Water, and pulling them out, took out 2 or 3 Pails of Water, and afterwards found the Child at the Bottom of the Copper. A Midwife likewise deposed, the Child was at its full Time; That examining her as to the Manner of its Birth, she told them that she was delivered in the Chamber, and that she got out of the Bed early in the Morning, spread a Gown and Petticoat on the Floor, lean'd upon a Chest of Drawers, and the Child came from her upon them; That there was a young Woman in the Room in Bed, with whom she lay, who was asleep ( she being a Quaker would not swear, and so could be no Evidence) and that she being very ill, went again to Bed, lay about 3 Hours, and then getting up, was carrying it down Stairs in the Gown and Petticoat, and was met by the Man. The Evidence deposed likewise that the Child was dead, and that there did not appear any Marks upon the Child of its having been hurt any where, except that there was a sort of a blackishCircle about the Child's Mouth (which a Midwife likewise deposed was usual to such Infants, tho'dying by a natural Death.) They likewise deposed that the Child was opened by a Surgeon, and that there did not appear to be any Water in the Body of the Child. In order to the better Information of the Jury in this Case, the Statute was read in Court, which was made to prevent the clandestine Births and concealing the Death of Bastard-Children, which enacted, That the concealing the Birth and Death of Bastard-Children should make the Mothers deem'd the Murtherers of them. The Prisoner, to put her self out of the Reach of this Act, alledged, that she was a married Woman at the time of her Conception, having been married to one Edward Wingate , who died same time before last Christmas. To prove this she had a Sister in Court, who deposed that she saw her married to the said Edward Wingate at Enfield Church. And others depos'd, they liv'd together for some time at Clerkenwell , and that the said Edward Wingate upon his Death-bed expressed his Concern in leaving her six Weeks gone with Child. Tho'in Contradiction to this, the Deceased's Sister deposed, that she examining the Prisoner since the Commission of this Fact, whether she ever had been married to her Brother, she answered her, she had not. But the other's Evidence prevailing, she was deemed not to be affected by that Statute. The Matter then turning on another Hinge, it being the Prosecutor's Business to prove the Child was born alive and that she murthered it. She said it was Still-born, and that she neither perceived it to stir nor heard it to cry, and produc'd a considerable Quantity of Child-bed Linnen in Court, which was sworn she provided for her Delivery; and her Sister deposed she spoke to her three Months since to be her Nurse; and likewise a Midwife deposed, that two Months since, she spoke to her desiring her to come to her when she sent for her, telling her she look'd the latter End of July or beginning of August. And the chief Stress of the Matter then being whether the Child was murthered by her before putting into the Copper, or alive when she put it in: As to the first , the Evidences generally agreed there were no visible Tokens of any Violence offered to the Infant; and as to the latter, the Judge being of Opinion it was not alive when it was put in, because of what had been before testified, that at its being opened there was no Water found in the Body of it. A Surgeon being call'd to give his Opinion on the Matter, confirm'd his Lordship's Opinion, deposing upon Oath he was of Opinion that no human Body could be drowned without receiving some Quantity of Water into the Body, and consequently the Child could not be alive when put into the Copper. The Matter being thus, that there was no sufficient Proof that she had either murthered the Infant, or that it was born alive, tho' the Action was so unaccountably inhuman, for which she gave but little Satisfaction, the Jury acquitted her of the Indictment."
1717-09-11,,1.0,,"Elizabeth Arthur , of St. Ann's Westminster , was indicted for the Murther of her Male Bastard Infant by drowning it in a House of Office . Mary Ashtol deposed, the Prisoner came to her, telling her she was ill, and had not the conveniency of lying down on the Bed at her Lodgings, it being a Press Bed and turned up; and therefore desired leave to lie down upon her Bed; which she granted. That she lay there five or six Hours, during which time she went in several times, and asked her how she did, and she said she was very ill; that she did not perceive her to be with Child, that she went out, and when she came home found her sitting upon the Bedside; that she said she was very ill; and she taking notice that her Sheets were in an odd pickle, asked her how they came so: she made her an Answer as proper as the Case would hear without telling the Truth, and took the Sheets away with her, wash'd them and brought them again the next Day. But suspecting there had been a Child born, search was made, and the Child found in the House of Office. The Constable and others deposed, that at her Apprehension she first deny'd the Fact, but afterwards owned it: and being asked why she put the Child there, she replied, Because she did not know where else to put it; that she did it to conceal her Shame, and that by so doing she had brought her self to more, and was now heartily sorry for it. The Prisoner pleaded that the Child was Still born, and came before its Time; and that she had made her case known to a Midwife, and several other Persons, and that she had provided Necessaries for it. There were some Persons that confirm'd these Circumstances; a Midwife, an experinc'd Nurse, and some other Women, who saw the Child, gave their Opinions that it came four, five or six Weeks before its full time: and a Bailiff's Wife deposed, she came to her about 4 Months since, giving her 3 s.6 d. for a Writ to arrest one who she said she was with Child by, in order that having by that means secured him she might oblige him to provide for it. The Jury considering the whole Matters, acquitted her."
1718-07-09,,1.0,,"Jane Plintoff , was indicted for the Murder of her Male Bastard Infant the 29th of March last. Mary Humphreys deposed that the Prisoner lodg'd in her House, and did acknowledge her self to be with Child, and that she was 3 Months gone; that about the time aforesaid she complain'd she was ill , and she and some others suspecting she had been deliver'd taxed her with it; but she denyed it, and whereas some of the Neighbours suspected she had put it, into the Vault; telling her of it, the Prisoner reply'd, there was no more a Child in the Vault than she was in it. Other Evidences depos'd to the same purpose, so the Matter lay undiscovered till the 2d Day of May, when the House of Office being emptying, the Child was taken up in the second Bucket, with the Skull broke, which was suppos'd was done by the Bucket. Mrs. Beecham, a Midwife, deposed, that as far as she could see, to the belt of her Judgment the Child did appear to be at its full Time; but it was so wasted by lying so long in the Vault, she could say nothing to its having been born alive or not. Upon its being taken up the Prisoner did confess it to be her Child, and that she put it in; but said it was born dead, and that it was a Miscarriage, she having come before her Time. It did appear that she had owned her being with Child; and had provided some Linnen for it, but said she put it into the Vault being poor and not able to bear the expence of burying it. The Jury acquitted her."
1718-07-09,,1.0,,"Sarah Lucas , of St. Margaret's Westminster , was indicted for the Murder of her Female Bastard Infant , and throwing it into a House of Office the the 25th of May last. Mary Rew deposed, that she going to the Necessary House about 10 a Clock at Night with a Candle, chanc'd to call her Eye into the Vault , and espy'd a Child, and going in to her Husband in a Surprize told him what she had seen; who not having any body in his House that he could then suspect of fact a matter, could not give credit to her, till he was convinc'd by seeing with his own Eyes; but neither of them had at that time the least thought of the Prisoner, who was Servant to a Gentleman and his Lady in the Neighborhood. Joseph Row deposed, that having seen what his Wife had told him of, he went to a Justice of Peace and inform'd him of what had happen'd to him; who sent his Clerk, who with an Officer saw the Child taken up, and not knowing whence it should come, he had a Suspicion of a Woman whom upon Examination he found was suspected wrongfully. The next Night a Man who used his House coming, in took upon him to perceive an Uneasiness in his Countenance, and ask's him what was the matter with him; whether he was concern'd about the Child's being found in the Vault; which he acknowledging, the Person advised him to he easy, telling him he would know more of it on the Morrow. He thereupon said to him, why them do you know any thing of the matter? he made no direct Answer, but ask'd him again if a Woman-body had not been at his House early on the Sunday Morning: he then recollected himself that the Prisoner had been there under pretence of bringing home a Candle she had borrow'd, and laying it down had past hastily through the House into the Yard, and that upon her coming back he perceiving her to have a Gown, ask'd her about it, who to'd him she had been to a Sister in Covent Garden for it to do her Work in, and remembering this, began to conclude the Prisoner was the Person that put the Child in the Vault: but it being then late, and the Family gone to Bed, he concluded to omit the further inquiry into the matter till Morning; but going to Bed, his Wife could not left, but getting up walk'd about the Chamber till Day-light, then about the Prisoner's Mabent Door till the Prisoner was up, and told her that her Husband desired to speak with her; upon which she came, and he taxing her with offering him the Abuse, she at first Stiffly deny'd but at last acknowledged it. Frances Amberry , a Mid wife, deposed, that according to her Judgment the Child was at its full time, and born alive, because its Hands were open; but she believed it dy'd for want of Help, for that she did not perceive any Marks of Violence on it. Elizabeth Bennet , another Midwife, confirm'd what the other had deposed. The Prisoner on her Tryal acknowledged the Child to be hers, and that she put it in the Vault; she said she had been deluded by a fellow servant at another Place, who had promised her Marriage , and had put her off from time to time; that the Child was born dead, she having received Harm by two Falls not long before; that she came six Weeks before her time, had made provision for it, had spoke to a Person to get her a Lodging to Lie-inn in three Days before, told her she was with Child, and had given her Mistress Warning to go away in order to Lie-inn, but was taken before she expected, did try out for Help, but lying in the Garret, and her Master and Lady on the first Floor, the was not heard; that after her Delivery she lay two Hours in the Bed, but never perceiv'd the Child to stir or cry. She brought an Evidence was depos'd , that three Days before this Accident the had spoken to her to procure her a Lodging, telling her she was with Child: she brought others to prove, that while she was a Prisoner she gave the Key of her Trunk to two Women who went to her Mistress's and found Childbed-Linnen, in the presence of her Mistress and others: she produced three others, who deposed that she had asked them to help her to Childbed Linnen some time before, and they had so done, and owned that to be the Linnen which was produced in Court; she produc'd others who confirm'd the distance of her Lodging from that of her Master and Mistress; and that her Mistress did remember some Tokens of her having had a Fall. Upon Consideration of the whole Matter the Jury acquitted her."
1718-10-15,,1.0,,"Francis Bolanson , of St. Andrews Holbourn , was indicted for the Murther of her Male Bastard Child, by throwing it into a House of Office , the 14th of August last. It appear'd by the Evidence, that the Prisoner being suspected to have been deliver'd of a Child, was search'd by a Midwife, to whom she own'd it, and told what she had done with it; and it was found in a Vault as she had directed. But nothing could be seen on it whether it had been hurt or not, nor whether it came at its fulltime, it having lay'n there 5 or 6 Weeks. The Prisoner in her Defence pleaded that she having been very much affrighted at the extraordinary Thunder and Lightning, fell very Ill of a Feaver and Measles, and that her Fright and Illness she did believe occasion'd the Death of the Child within her; for she did not feel it stir for some considerable time before its Birth, and that she came 6 Weeks before her time, it being Still-born, and in the time of her Illness; she brought Evidences to prove her Illness, and also that she had made Provision for the Child; upon which the Jury acquitted her."
1718-12-05,,1.0,,"Ann Jones , of St. Giles in the Fields , was indicted for the Murder of her Male Bastard Child, by throwing it into a House of Office , on the 9th of June last. She was indicted a Second time on the Coroner's Inquest for the same. It appeared that the Prisoner being with Child, went to her Sister's, and ask'd for her, complaining that she was not well; that she went down Stairs, and being follow'd, was found sitting on the Vault; that being ask'd whether she was not with Child, she denied that she was to one Woman, and said that she never knew any Man; but confest to others and a Mid wife that she was 18 Weeks gone; that the Midwife searching her, found that there was something amis, whereupon they went to the Vault, where she had been over Night, and found a Boy at full Growth in it; which the Prisoner owned to be hers. The Prisoner in her Defence said, that she did not know that she was so near her time, and that the Child dropt from her as she sat on the Vault; that she had made some Provision for it, and produced several Pieces of Child-Bed-Linnen in Court. The Jury considering the whole matter, Acquitted her."
